viaje_id,camion_id,producto_id,categoria_logistica,tipo_camion,centro_distribucion,lecturas,duracion_min,temp_media_c,temp_std_c,temp_min_c,temp_max_c,humedad_media_pct,humedad_std_pct,desvio_actual_medio_c,desvio_actual_max_c,pendiente_abs_media,pendiente_abs_max,capacidad_kg,cantidad_solicitada,entrega_prometida_hrs,eventos_previos_24h_max,alertas_temp_previas_24h_max,fallas_motor_previas_24h_max,eventos_alta_previos_24h_max,lecturas_con_evento_previo_pct,tuvo_desviacion_futura,tasa_lecturas_desviacion_futura,max_desvio_futuro_c,cluster_mejor,cluster_k3
VIA-00001,CAM-20,PROD-045,Fresco,Refrigerado,Oruro,24,690.0,4.89375,2.502162217137323,2.13,9.9,80.13958333333333,6.383350952599895,-0.27374999999999994,3.9,0.044608695652173874,0.2,12000,349.0,72.0,1,0,0,0,0.125,1,0.25,3.9,0,0
VIA-00002,CAM-12,PROD-029,Seco,Seco,La Paz,24,690.0,19.297916666666666,1.5063055269697796,17.12,24.32,50.4375,7.817083438102787,-3.71875,-0.6799999999999997,0.05447826086956516,0.172,8000,479.0,24.0,1,0,0,0,1.0,0,0.0,-0.6799999999999997,2,2
VIA-00003,CAM-29,PROD-057,Seco,Seco,Santa Cruz,24,690.0,19.99833333333333,1.6274377478688409,16.67,22.64,48.17916666666667,7.167315862069054,-3.6391666666666667,-1.6700000000000017,0.0668405797101449,0.1399999999999999,5000,275.0,72.0,0,0,0,0,0.0,0,0.0,-1.6700000000000017,2,2
VIA-00004,CAM-10,PROD-048,Seco,Refrigerado,La Paz,24,690.0,19.515833333333333,1.900814280127396,15.99,23.92,48.60833333333333,6.618939667260957,-3.4808333333333334,-0.9900000000000002,0.056884057971014444,0.1933333333333333,12000,72.0,72.0,0,0,0,0,0.0,0,0.0,-0.9900000000000002,2,2
VIA-00005,CAM-25,PROD-009,Fresco,Refrigerado,Cochabamba,24,690.0,3.9483333333333337,1.06325041701161,2.04,6.91,78.00833333333334,8.557220021289256,-1.1508333333333334,0.91,0.03652173913043475,0.1193333333333333,2000,338.0,48.0,1,0,0,0,1.0,1,0.08333333333333333,0.91,1,1
VIA-00006,CAM-26,PROD-060,Congelado,Refrigerado,Tarija,23,660.0,-18.093961352657004,0.7231464037260243,-19.06111111111112,-16.4,68.74347826086957,5.6458211486627645,-1.4025603864734297,-0.3999999999999986,0.03226094276094275,0.063,8000,336.0,72.0,0,0,0,0,0.0,0,0.0,-0.3999999999999986,1,1
VIA-00008,CAM-28,PROD-004,Fresco,Refrigerado,La Paz,24,690.0,5.364999999999999,2.772634910662795,3.06,11.32,79.4375,7.672526509793126,-0.2875,5.32,0.040652173913043425,0.2523333333333333,2000,441.0,48.0,0,0,0,0,0.0,1,0.25,5.32,0,0
VIA-00009,CAM-20,PROD-043,Congelado,Refrigerado,Oruro,24,690.0,-18.069583333333334,0.8015120448071975,-20.07,-16.87,70.52708333333334,6.691736941714121,-1.3862499999999998,0.0700000000000002,0.03171014492753619,0.0813333333333333,12000,15.0,48.0,1,0,0,0,1.0,1,0.08333333333333333,0.0700000000000002,1,1
VIA-00010,CAM-14,PROD-059,Seco,Seco,Cochabamba,23,690.0,19.915434782608695,1.6243648500284364,15.3,22.72,49.33043478260869,7.460223904914816,-3.805869565217391,-0.3000000000000007,0.05995454545454541,0.2473333333333332,8000,130.0,72.0,0,0,0,0,0.0,0,0.0,-0.3000000000000007,2,2
VIA-00011,CAM-15,PROD-058,Congelado,Refrigerado,La Paz,24,690.0,-17.881666666666664,0.6943102092484802,-19.14,-16.81,72.04583333333333,7.024613816813154,-1.4016666666666666,-0.8099999999999987,0.026188405797101407,0.0653333333333333,2000,89.0,72.0,1,0,0,0,0.5,0,0.0,-0.8099999999999987,1,1
VIA-00013,CAM-01,PROD-052,Fresco,Refrigerado,Cochabamba,24,690.0,4.1875,0.879744281027163,2.08,5.63,79.60000000000001,6.938048842371352,-1.2975,-0.08,0.036101449275362275,0.1116666666666666,5000,404.0,72.0,0,0,0,0,0.0,0,0.0,-0.08,1,1
VIA-00015,CAM-15,PROD-037,Fresco,Refrigerado,La Paz,24,690.0,4.0125,1.0606734939978302,1.68,6.14,77.44583333333334,7.247367088132414,-1.1108333333333333,0.3200000000000003,0.041623188405797054,0.1233333333333333,2000,333.0,48.0,0,0,0,0,0.0,1,0.125,0.3200000000000003,1,1
